user_id,session_count,avg_session_duration,pageviews_per_session,days_since_last_visit,feature_usage_rate,clicks_on_premium_content,referral_source,state,device_type,number_of_visits_last_week,number_of_visits_last_30_days,messages_sent_count,messages_received_count,posts_count,reactions_count,community_sessions_count,number_of_trainings_watched,number_of_trainings_finished,daily_steps,daily_workout_minutes,subscription_status
30,13,35.724179931264516,6,15,0.5515377570033047,1,referral,California,tablet,4,8,7,4,4,11,8,8,8,5063,23,0
31,12,27.702967010741638,3,8,0.6001924568349081,3,referral,Illinois,mobile,2,6,2,4,0,12,11,7,1,5054,32,0
32,12,18.781593693176756,5,23,0.4387041163927643,2,referral,Florida,mobile,4,9,7,3,2,13,3,10,3,4980,44,0
33,14,22.290093028456635,3,4,0.6408527749535627,3,referral,Texas,tablet,2,10,4,3,0,10,7,11,3,4923,38,1
34,16,34.83348326886852,2,23,0.6236908283392915,2,organic,Texas,mobile,3,8,4,7,2,10,10,13,4,5050,35,0
35,16,47.925362155942615,4,7,0.8301866506444974,1,referral,Texas,tablet,5,5,0,2,5,4,11,10,5,5158,26,0
36,14,57.808066944721844,2,2,0.972751842502748,1,ad,Florida,desktop,4,7,3,0,0,11,10,8,3,5127,30,0
37,11,22.629177885088893,4,29,0.5193513730052114,3,organic,California,mobile,2,11,2,2,4,9,5,7,6,5032,32,0
38,8,17.823502682105396,8,2,0.8624522768867555,4,referral,Texas,tablet,3,13,4,7,2,10,7,9,6,5053,24,1
39,14,21.02322582978238,5,3,0.7651898259020522,4,organic,Texas,desktop,2,12,6,3,1,10,6,8,2,5017,25,1
40,18,49.367469094545726,2,10,0.14336535153409546,4,referral,New York,tablet,3,5,4,4,2,6,2,5,3,4927,29,0
41,11,49.27700952589195,2,29,0.9735295046533152,5,ad,Illinois,mobile,3,9,2,10,1,9,10,11,7,4877,36,1
42,16,31.720238909278304,1,23,0.7430556725616257,1,organic,Illinois,desktop,4,13,5,2,3,11,4,7,5,4825,28,1
43,17,40.142398536728045,1,16,0.9593713872390143,2,organic,New York,mobile,3,8,5,5,3,14,13,4,4,4953,36,1
44,15,45.89882413492896,5,3,0.30865735771304215,9,ad,California,desktop,3,14,0,4,3,10,5,13,3,4947,24,1
45,10,35.171340547720206,7,28,0.08618844863944386,3,referral,Texas,tablet,1,8,3,5,1,10,3,10,4,4956,31,0
46,11,49.29550857342538,7,15,0.3769829083692998,1,referral,Texas,tablet,1,10,4,4,2,10,10,10,4,5050,30,0
47,14,30.009197771646292,2,25,0.30095185659486134,4,referral,Illinois,tablet,3,9,5,3,2,12,7,6,4,4966,29,0
48,11,19.759052096154413,4,3,0.17977966118903754,4,ad,New York,tablet,2,16,6,4,0,13,10,14,5,4999,31,0
49,8,17.67600810129605,2,29,0.5711119199520366,3,ad,Illinois,desktop,4,5,9,5,1,7,7,10,8,4894,26,0
50,12,55.8313226739369,2,16,0.41761280418121105,6,referral,Florida,tablet,2,10,5,6,4,9,4,9,7,5117,31,0
51,13,29.61754036493035,3,12,0.4010161835348679,5,ad,New York,tablet,5,7,5,7,0,8,7,11,5,4906,30,0
52,19,19.698805405251424,5,25,0.34803920086425333,1,ad,New York,tablet,1,14,5,4,1,7,8,6,5,4973,28,0
53,18,20.109403829473262,3,28,0.03792113551140286,2,organic,California,desktop,2,9,7,9,0,9,11,9,7,4922,31,0
54,17,16.12230087943553,4,4,0.01843335693158532,4,organic,Texas,desktop,3,8,2,2,2,9,12,6,1,5038,27,0
55,32,44.66886782731902,6,29,0.6899565665776773,3,ad,Illinois,desktop,1,9,0,8,2,8,9,13,7,5075,26,0
56,17,31.365333418988044,7,7,0.8169881048756733,3,ad,Florida,desktop,4,11,3,3,5,8,2,6,3,5005,29,1
57,13,20.77530935545552,2,9,0.6792824054750247,2,referral,Florida,mobile,1,16,3,0,0,10,10,10,3,4981,27,0
58,22,44.22853280159036,2,16,0.27283520330521527,2,referral,Texas,desktop,4,9,4,2,0,10,7,8,8,5002,38,0
59,17,15.98833531996908,2,2,0.8981351281160737,2,organic,Florida,tablet,4,6,0,4,2,12,7,6,4,4849,31,0
60,16,37.92561068795112,2,9,0.8347559852247054,5,referral,California,mobile,6,12,5,3,2,10,6,6,6,5038,32,0
61,17,51.36212463713304,6,22,0.15735339258171066,1,ad,Florida,tablet,0,7,2,7,1,10,5,7,5,4935,34,0
62,20,33.0856790687872,4,20,0.05744291672624613,8,ad,California,desktop,4,5,5,5,1,13,9,5,5,4929,52,1
63,12,58.71648018255129,4,27,0.329911015887946,0,organic,New York,desktop,4,11,3,6,2,15,7,9,6,4996,21,0
64,15,45.089924356832725,7,18,0.15261645161767168,2,referral,Florida,tablet,4,11,3,6,3,11,8,12,7,4875,32,0
65,17,52.788612970737844,2,12,0.236588750340036,3,ad,Illinois,desktop,3,9,4,6,1,9,6,7,7,4998,28,0
66,19,35.48575592858915,5,25,0.5147891526707404,2,organic,Illinois,mobile,5,7,1,4,1,9,11,9,6,5117,30,0
67,16,22.16584522618144,4,18,0.7391273214852162,7,organic,California,desktop,2,8,1,6,1,12,8,4,4,5091,27,1
68,11,38.58383090030445,2,13,0.770319854166029,5,ad,California,desktop,3,14,7,4,0,9,7,11,8,5065,33,0
69,12,23.01520229309594,3,8,0.6933301697694896,3,referral,Illinois,mobile,4,10,4,4,1,9,8,12,5,4944,29,0
70,17,47.772611236978,5,0,0.9523151196026944,7,ad,New York,desktop,1,9,6,4,2,12,7,6,5,4965,27,0
71,13,34.854537619288706,6,1,0.8935397478662221,5,organic,California,desktop,0,9,5,3,2,11,10,8,2,5009,23,0
72,10,28.39931839706944,1,15,0.11592559646189704,7,referral,California,tablet,1,10,6,8,0,9,9,5,3,5038,32,0
73,16,23.194437685215263,2,15,0.5851789432221782,2,organic,New York,mobile,2,13,3,6,0,11,4,6,6,4949,32,0
74,12,21.55851660697024,3,12,0.9963455301069271,3,referral,Florida,tablet,1,11,5,1,2,10,7,8,5,4966,27,0
75,5,54.325432836630824,5,20,0.06556366543785153,5,referral,Illinois,mobile,2,8,1,5,2,13,4,10,6,4920,25,0
76,14,49.905484819604865,5,5,0.724772934377462,1,organic,Florida,desktop,3,9,8,1,0,10,4,8,5,5029,32,0
77,20,39.54540760382325,6,0,0.9012101714782115,2,organic,Florida,mobile,3,5,10,6,2,8,7,8,6,5034,25,0
78,14,44.26331925011961,5,14,0.9943953782371493,3,ad,Texas,tablet,3,11,6,4,0,6,6,4,1,5037,17,1
79,16,30.460247694842955,4,17,0.5518566211738337,5,organic,Texas,mobile,2,11,6,2,0,10,12,9,2,5050,33,0
80,21,57.21441022886729,2,11,0.5362790115017269,1,organic,Texas,tablet,5,8,4,5,2,10,8,2,2,5071,29,0
81,7,46.41037480837019,3,19,0.45189170678757307,6,ad,Texas,tablet,3,13,3,4,3,9,6,8,3,4976,27,1
82,15,45.90721860040319,2,18,0.4160761411024695,3,organic,California,desktop,2,8,9,3,0,11,10,12,6,5049,26,0
83,16,37.32348710499603,3,3,0.10614907252293337,1,organic,Illinois,tablet,3,8,3,6,0,12,5,9,5,5050,37,0
84,11,48.519827324331985,5,13,0.01197637635413995,1,organic,Texas,tablet,6,8,3,2,2,13,10,3,3,5076,39,0
85,14,39.597232125650805,2,3,0.3076406288280177,5,ad,Texas,mobile,3,5,4,4,2,8,13,8,2,4972,26,0
86,15,42.10802006827164,3,8,0.852175594827748,1,referral,Texas,mobile,6,8,8,3,2,11,4,8,7,4924,34,0
87,17,49.757082524742025,3,7,0.6155409892997862,2,ad,Texas,tablet,3,15,3,3,2,7,9,7,5,5054,28,1
88,14,19.723717443914293,2,16,0.6268379599214545,2,ad,Illinois,mobile,6,14,4,2,2,10,7,8,7,4959,27,0
89,15,49.64434464789517,5,17,0.15291783976976303,2,organic,Florida,desktop,1,3,1,5,0,12,8,14,1,4982,30,0
90,15,20.680669588775682,5,14,0.8903607866019314,3,organic,Illinois,mobile,3,12,6,3,2,11,8,11,7,5058,22,0
91,8,46.980080217232384,5,12,0.007482896126927208,3,referral,New York,tablet,4,8,7,1,1,8,6,5,2,4978,36,0
92,8,36.36155021796024,4,26,0.4414196087778304,4,ad,California,desktop,3,6,6,3,3,13,7,5,4,5069,35,0
93,13,48.07675430655725,3,1,0.168810081616657,2,ad,Illinois,tablet,4,9,5,4,4,4,9,8,2,5059,23,0
94,13,52.77036878643167,4,27,0.47983619059357463,5,ad,Illinois,desktop,4,10,3,0,2,10,9,8,8,4944,36,0
95,17,47.08167007704907,7,29,0.31267831960959247,3,referral,Illinois,mobile,1,9,0,6,1,9,12,9,2,4965,40,0
96,8,40.48275091694741,5,8,0.10850144756400837,3,referral,Florida,tablet,1,12,2,2,3,13,7,10,2,4851,31,0
97,11,34.281355179014035,3,7,0.6127899225113352,1,ad,Florida,mobile,0,6,6,5,4,16,10,10,2,4985,34,0
98,16,57.69156146378807,7,12,0.42936229996612907,2,organic,California,desktop,4,15,8,5,2,12,6,9,4,5054,28,0
99,16,49.55727450665748,4,3,0.7107976747330542,3,referral,Texas,desktop,4,6,4,1,2,6,8,10,5,4953,33,1
100,11,54.25437977784969,3,4,0.9162298806386773,1,organic,New York,mobile,4,13,5,3,0,15,10,8,1,4881,33,1
101,13,17.244928657094384,4,11,0.1325046706517835,3,referral,New York,tablet,1,8,6,4,3,10,7,9,6,4894,28,0
102,16,26.051893416741372,3,15,0.6557590466790844,4,organic,California,mobile,2,6,9,2,3,8,5,8,3,5002,33,0
103,14,17.476071196977653,1,5,0.9222635131437518,1,referral,New York,tablet,0,6,1,2,3,2,12,9,4,4915,28,0
104,13,47.50349685938428,3,23,0.6867355680027973,1,ad,Illinois,tablet,2,14,4,6,3,10,6,7,6,5087,28,0
105,14,55.15842534670795,5,9,0.5506046613312559,3,organic,Florida,tablet,2,10,3,4,5,17,8,8,6,4902,29,0
106,18,30.613621105430887,5,20,0.4769634750120383,2,ad,California,tablet,2,6,5,5,1,7,7,5,4,5184,25,0
107,12,17.224091961441445,4,19,0.6652348420104427,3,organic,California,desktop,2,9,7,2,5,6,7,8,4,5049,29,0
108,18,42.14826119059268,2,2,0.6368774955542855,5,referral,New York,tablet,1,18,6,0,0,7,5,10,4,4986,39,0
109,16,37.94177629608059,4,6,0.13887808214058472,3,organic,New York,desktop,8,11,4,7,0,8,6,2,2,5006,24,0
110,19,31.83694256350824,2,7,0.7011836802283185,0,ad,Texas,tablet,2,8,5,6,3,8,5,7,6,4962,36,0
111,14,57.67957019580418,1,25,0.27714698333202903,3,ad,New York,mobile,4,7,2,3,1,10,7,9,5,5021,34,1
112,19,55.77574062418997,2,12,0.993652046892879,3,referral,Illinois,desktop,0,11,6,4,6,14,5,8,5,4930,33,0
113,14,48.219005589831305,2,29,0.6916401413839356,3,organic,Florida,desktop,1,13,4,3,1,8,12,6,4,4993,27,1
114,15,29.89511021279675,6,14,0.19415592037069662,2,organic,New York,desktop,2,9,6,5,1,4,8,10,1,5030,29,0
115,12,32.39865246710785,5,0,0.263575464705476,0,referral,California,tablet,1,14,8,4,4,13,11,7,3,4993,27,0
116,14,24.265933127351367,4,13,0.4125549376400227,5,ad,New York,tablet,2,16,6,5,3,7,5,7,7,4966,34,0
117,22,31.686636531861954,2,12,0.9727313763600252,3,ad,California,mobile,3,10,5,3,1,12,10,9,6,5003,32,1
118,12,52.724722890747046,3,8,0.4891064660384349,4,organic,Florida,mobile,0,12,7,7,4,12,6,9,3,5079,16,0
119,13,58.29375069468988,1,27,0.5796437020321992,2,organic,California,mobile,3,10,5,9,3,12,7,9,9,4909,35,1
120,18,50.53130028563583,4,18,0.43266722899639243,1,ad,New York,desktop,4,11,3,2,1,12,10,4,3,4948,29,0
121,16,57.65443333611808,3,0,0.21125811269584183,5,ad,Texas,desktop,3,8,10,2,3,9,11,10,5,4994,30,0
122,15,19.086501658196607,5,3,0.7269760976455614,3,ad,Illinois,desktop,3,8,9,3,3,8,8,7,4,4901,27,0
123,11,27.422965692294174,5,3,0.9716332398903401,5,referral,Florida,mobile,2,10,13,3,2,17,6,8,2,4988,20,0
124,15,23.534572651968055,4,8,0.7478869232659393,4,ad,Florida,desktop,2,6,9,4,1,8,7,10,2,5148,22,1
125,23,24.825366982714115,3,10,0.21220902752159565,2,ad,California,mobile,4,13,6,2,1,10,8,10,4,5036,24,0
126,12,27.275107879446136,1,3,0.03828223175665724,3,organic,California,desktop,2,17,2,2,2,7,7,11,2,5041,40,0
127,11,33.95927261400149,2,16,0.6035850260564536,1,referral,Florida,mobile,3,8,5,2,1,8,10,7,4,4978,35,0
128,24,58.07795148448408,7,7,0.05673258153766125,6,organic,California,mobile,3,7,7,7,3,5,7,7,6,5149,30,0
129,18,26.417929779031695,9,27,0.4378226107554274,3,ad,Texas,tablet,1,17,4,4,2,11,13,8,4,4971,36,0
130,13,15.158087133934604,7,0,0.3760023202662671,8,organic,California,desktop,3,10,5,7,3,13,12,6,5,4867,36,0
131,20,56.03918152429618,3,29,0.32170198473875367,4,referral,Illinois,tablet,4,11,4,3,2,5,8,4,4,5055,30,1
132,12,31.87687105061492,3,10,0.21660304642119932,2,ad,California,desktop,0,10,5,6,0,8,6,10,4,5007,49,0
133,9,31.183226839286892,3,3,0.36445209352324326,2,organic,Illinois,desktop,3,11,5,3,0,13,8,11,6,5037,25,1
134,14,19.677740286766927,3,26,0.6972054963104334,2,referral,New York,desktop,2,10,5,2,0,9,8,12,3,5046,37,1
135,16,28.17277784309004,4,2,0.24762796288774735,2,ad,Texas,mobile,3,9,4,4,2,12,7,6,6,5022,34,0
136,10,54.201492337743574,3,21,0.7745192552278828,4,referral,Illinois,desktop,2,14,4,4,2,9,9,14,2,4978,38,1
137,18,32.86727820713851,7,18,0.16961308806581665,8,organic,California,desktop,3,11,5,4,1,12,8,7,7,5032,30,1
138,17,22.713481010087246,5,24,0.20560706560376663,2,referral,Texas,desktop,3,10,8,4,0,18,9,10,6,4981,27,0
139,18,55.28735473073888,4,18,0.9278518760045983,2,organic,California,mobile,8,8,4,0,2,12,6,8,5,5016,31,1
140,9,36.70234136315615,4,27,0.6324756579668412,4,ad,Texas,mobile,7,8,5,6,2,15,7,10,7,5062,22,1
141,17,46.98617960020081,4,28,0.6725725239166109,2,organic,Texas,mobile,1,14,7,5,1,8,7,12,6,4998,34,1
142,5,20.276061266437097,0,11,0.11379005395383879,0,referral,New York,desktop,3,5,9,1,5,14,4,13,3,4943,28,0
143,12,31.96078052728552,5,0,0.12129964212299593,1,ad,New York,desktop,4,7,9,3,0,9,7,10,3,4823,36,0
144,14,42.00060399557244,1,6,0.13850702158008543,3,organic,Illinois,mobile,0,8,5,3,1,9,9,5,5,4938,30,0
145,10,40.153044824232055,1,9,0.9119551523489432,7,organic,Illinois,mobile,4,12,2,3,5,12,7,7,3,5086,31,0
146,12,17.677764855464623,6,11,0.16670475629173698,2,referral,New York,desktop,1,15,2,1,1,13,9,3,3,5040,26,0
147,19,34.21378711692451,7,18,0.9311585408982682,2,ad,Florida,desktop,2,11,7,2,2,7,12,5,4,4791,33,1
148,21,52.050914119888,5,29,0.9712596570335541,3,organic,Florida,tablet,2,7,4,3,0,14,5,7,7,4931,33,1
149,15,40.55242341949507,4,25,0.6702742612681704,5,ad,Florida,tablet,8,9,2,6,0,13,7,7,7,5040,29,1
150,13,57.32507511090747,1,5,0.7608097622511184,2,organic,Illinois,mobile,2,5,4,6,4,2,7,11,3,5001,25,0
151,18,32.10830809405817,4,19,0.6534256452470393,3,organic,New York,desktop,1,6,8,2,0,14,4,10,4,5191,28,0
152,19,55.1153073238328,9,24,0.09063719091907307,4,ad,New York,mobile,6,7,1,6,2,8,4,10,3,4915,30,1
153,16,36.61637598303173,3,23,0.5293804705370643,5,referral,California,mobile,5,9,8,3,2,12,5,10,7,5010,38,0
154,16,32.911940656293176,2,14,0.842401546631317,2,organic,New York,tablet,3,8,4,3,0,14,10,8,4,5001,30,0
155,13,19.12641252234136,1,17,0.8041031097782243,3,referral,Texas,mobile,2,9,5,2,1,11,10,7,3,4967,22,1
156,18,31.99412456084566,4,17,0.26468228640357405,1,referral,Illinois,desktop,5,14,3,5,1,8,6,7,5,4980,29,0
157,13,51.04280820010588,6,20,0.09177468999649996,3,organic,California,tablet,5,11,8,2,2,9,4,12,3,5081,40,0
158,12,19.387394551960924,1,24,0.18211975149391813,2,organic,Texas,tablet,4,12,5,7,3,13,9,9,4,5013,25,0
159,15,46.08330823006679,3,20,0.051302898124141905,2,organic,New York,desktop,0,11,7,3,4,7,9,10,2,5099,35,0
160,19,29.705512388263312,4,9,0.7976807174457394,1,organic,Illinois,tablet,7,13,5,4,1,8,13,2,2,4981,36,0
161,18,33.40796231115151,0,13,0.7594063371273164,7,organic,Illinois,mobile,6,8,8,2,2,5,8,3,3,4961,27,0
162,19,16.43951971466179,3,26,0.7633013871352023,5,organic,Florida,desktop,2,15,5,3,4,10,6,7,5,5017,31,1
163,10,32.88786899501144,3,17,0.23566079826584585,0,organic,New York,desktop,1,7,3,4,3,14,2,6,1,4999,27,0
164,15,55.16231208025154,2,23,0.15161634398554646,5,organic,Florida,tablet,1,16,5,2,1,11,14,11,3,5036,26,0
165,14,23.39204682992857,6,8,0.9926855227307094,3,referral,Texas,desktop,4,17,2,4,1,10,6,8,2,4954,30,0
166,18,18.735881241368038,4,6,0.3003097200828373,3,referral,California,mobile,2,17,4,3,2,15,6,12,7,4892,39,1
167,9,15.738291496320326,3,27,0.8743877296460426,5,ad,Texas,desktop,5,7,7,2,1,9,8,10,1,4924,29,1
168,15,57.61941047796309,5,29,0.4336537703199934,2,organic,Texas,mobile,1,11,7,1,1,9,8,11,3,5036,24,0
169,16,40.546084099807885,0,17,0.38256772074966516,3,ad,New York,desktop,4,9,5,6,3,7,7,9,5,5047,36,0
170,22,49.61337545542375,1,28,0.8872287235059829,4,organic,Texas,tablet,3,14,8,1,2,12,8,10,5,5051,28,1
171,17,31.419211827961323,4,18,0.4852763428774741,5,organic,California,tablet,3,14,3,4,3,8,8,4,4,5004,33,1
172,10,23.434317757316258,5,26,0.21390305718976255,5,ad,New York,mobile,5,11,8,2,2,9,7,6,6,5049,31,0
173,14,48.10430931309877,3,20,0.03685243546268113,4,referral,Illinois,desktop,4,11,2,7,2,8,8,9,2,4967,19,0
174,15,53.75967945060003,4,17,0.38841962763967997,5,ad,Texas,mobile,3,4,5,4,1,10,9,7,2,4899,35,0
175,16,36.02867462764364,4,22,0.396224652424395,5,organic,Florida,desktop,4,9,7,7,3,10,8,7,4,5116,32,0
176,14,31.394568999976272,4,24,0.14598931740862453,1,referral,New York,tablet,3,10,5,8,1,16,9,6,4,4966,35,0
177,16,38.606775251980864,2,12,0.062188382007973164,4,referral,Texas,desktop,3,12,3,5,1,6,8,8,6,5067,30,0
178,5,58.291051258672596,4,20,0.1204871482620723,2,organic,Illinois,desktop,5,6,4,3,3,10,4,9,3,5021,26,0
179,18,21.29905110721559,2,3,0.34976128993451716,1,referral,California,tablet,5,11,7,4,3,10,7,1,1,4963,22,0
180,12,44.3718081603938,6,21,0.8576159070075773,2,referral,New York,mobile,1,9,1,3,5,10,7,12,5,5041,23,0
181,11,49.32702223124309,6,28,0.7561939110464961,3,organic,Illinois,mobile,4,9,7,3,3,5,9,8,5,5005,27,1
182,14,43.797090901690446,0,24,0.8631440173696717,1,organic,New York,desktop,2,11,5,4,3,16,6,8,7,5049,29,0
183,16,23.0141837695388,2,27,0.4261549885569229,1,referral,Florida,tablet,3,17,3,1,2,13,9,7,5,5082,25,0
184,18,24.98492904189476,4,11,0.6485131214360478,2,organic,Texas,desktop,6,6,4,3,3,9,5,9,3,4938,24,1
185,17,38.759943001418385,2,23,0.9237831459732526,5,referral,New York,mobile,2,4,6,5,1,9,9,9,4,4891,31,0
186,13,56.68817560882133,4,6,0.1674895420085688,2,ad,Illinois,desktop,1,8,2,4,3,8,10,11,6,4962,28,0
187,11,19.17552975130492,2,26,0.2763822307646606,2,organic,Florida,desktop,2,8,8,8,0,8,10,5,5,5071,22,0
188,10,34.120532947279244,2,1,0.3380885092019882,2,organic,Illinois,tablet,2,10,3,7,1,9,9,5,5,4894,26,0
189,11,41.440858856493634,5,29,0.7534138309794575,5,referral,California,tablet,2,11,6,4,2,6,6,8,3,5074,36,0
190,17,28.8174126458851,3,19,0.31574597406794547,4,organic,Illinois,desktop,1,17,1,7,2,6,6,5,5,5103,38,0
191,15,25.452149763165117,4,14,0.8128102558372633,5,ad,Texas,mobile,0,7,4,2,1,12,11,6,6,5116,23,0
192,13,27.78517211822912,2,0,0.29292890567525565,2,organic,New York,mobile,3,9,6,3,3,5,12,12,6,4996,39,1
193,17,54.52641601268721,4,27,0.00499926935225814,2,organic,Florida,tablet,3,8,3,5,1,11,6,18,14,5040,21,0
194,13,47.31270384006189,3,24,0.32072574284966404,0,referral,California,desktop,3,10,4,6,1,12,8,7,5,5002,32,0
195,14,42.7481487065448,4,5,0.31665512622707404,1,referral,Florida,mobile,6,9,2,4,1,8,11,10,4,5036,41,0
196,19,28.793822888411764,4,4,0.6564222707143015,3,organic,Texas,desktop,3,8,4,3,1,8,5,10,8,5009,27,0
197,12,18.744918617411482,2,29,0.10267945411401391,1,ad,California,tablet,3,10,4,5,3,13,10,7,5,4935,36,0
198,14,55.047695542621526,1,18,0.3106420644782817,3,ad,Texas,mobile,1,10,5,2,3,6,10,9,2,4866,28,0
199,11,44.90134943536616,3,23,0.7848567979103191,5,ad,Texas,desktop,1,11,5,6,0,13,8,8,7,5013,36,1
200,12,31.046260702149134,5,9,0.7705523889809571,7,referral,California,desktop,1,10,3,3,3,9,11,9,7,4957,29,1
201,9,45.412853826439346,6,29,0.6609897072790769,3,ad,Illinois,tablet,2,11,3,5,1,12,6,2,2,4989,27,0
202,11,33.576350868030296,1,4,0.9432211252703614,4,referral,California,mobile,2,10,4,6,4,11,10,9,6,5067,28,1
203,16,48.595550627126606,5,11,0.08262036268190964,3,ad,Florida,mobile,3,7,7,5,2,10,5,10,7,4769,37,0
204,12,35.512555896808394,5,20,0.9159909094163933,2,organic,California,mobile,3,10,3,10,0,6,11,8,5,5042,22,0
205,15,59.62376854333471,5,18,0.7663597850032228,1,organic,New York,mobile,4,9,6,2,4,11,11,2,2,5006,29,1
206,18,47.234777374925436,1,16,0.6085134261784663,3,referral,Texas,desktop,3,6,9,3,1,10,4,10,10,4915,37,1
207,15,44.044870733764924,3,20,0.16397544380197404,4,referral,New York,mobile,2,10,8,4,3,9,5,8,5,4946,32,0
208,18,45.440678392324294,6,5,0.39295406068078675,4,organic,California,mobile,6,8,7,5,1,7,10,12,8,5003,38,1
209,13,24.205306304344674,6,8,0.16610419250588682,5,referral,Florida,tablet,6,10,3,2,3,6,9,3,3,5027,29,0
210,19,55.09927595001836,4,16,0.9028192635955304,3,ad,New York,desktop,3,8,4,4,3,11,7,12,3,4959,27,1
211,12,35.8033131400287,3,10,0.4364500645736388,4,referral,Texas,mobile,4,11,8,5,1,8,5,10,3,4983,41,0
212,20,49.045324997365256,8,18,0.02218275863535113,2,ad,Florida,tablet,7,12,6,3,2,7,7,10,4,5085,35,1
213,10,51.03142227687859,3,10,0.061813876691606096,2,ad,Illinois,tablet,3,18,6,6,2,10,7,10,4,4984,32,0
214,12,33.31282978695755,7,29,0.06694046692992783,1,organic,Texas,tablet,3,11,6,4,4,14,10,14,5,5033,33,1
215,13,46.632729831905095,6,13,0.6131405648644892,2,referral,New York,tablet,3,14,10,5,2,14,7,6,6,4959,26,0
216,15,40.60445729913182,7,24,0.5267894806907097,1,ad,Illinois,desktop,2,8,5,4,4,11,9,6,5,5046,21,1
217,14,37.91416862251853,4,2,0.6093740547271612,6,organic,New York,desktop,1,10,5,5,4,9,4,15,5,5092,32,0
218,10,51.191007832346635,5,0,0.32070005271571633,1,referral,Illinois,tablet,2,8,4,3,0,4,8,9,2,5045,30,0
