userid,version,monthly_bill,conversion,retention
12749,oneclick,6,TRUE,FALSE
12905,old,1,FALSE,FALSE
12951,old,2,FALSE,FALSE
12967,oneclick,24,TRUE,FALSE
12979,oneclick,6,FALSE,FALSE
13133,old,6,FALSE,FALSE
13216,oneclick,24,TRUE,FALSE
13228,old,9,FALSE,FALSE
13320,old,34,FALSE,FALSE
13321,old,56,FALSE,FALSE
13376,old,12,TRUE,FALSE
13429,oneclick,60,FALSE,TRUE
13494,old,10,TRUE,FALSE
13633,oneclick,67,FALSE,FALSE
13664,oneclick,42,TRUE,TRUE
13721,old,65,TRUE,FALSE
13758,oneclick,1,FALSE,FALSE
13806,oneclick,4,FALSE,FALSE
13856,oneclick,3,FALSE,FALSE
13872,oneclick,1,FALSE,FALSE
13893,old,14,FALSE,FALSE
13969,old,42,FALSE,FALSE
14143,oneclick,13,FALSE,FALSE
14218,oneclick,129,FALSE,TRUE
14290,old,6,TRUE,FALSE
14296,oneclick,37,FALSE,FALSE
14381,old,9,FALSE,FALSE
14592,oneclick,1,FALSE,FALSE
14644,old,2,FALSE,FALSE
14834,oneclick,27,FALSE,FALSE
15157,old,38,FALSE,FALSE
15173,oneclick,8,FALSE,FALSE
15294,oneclick,51,TRUE,TRUE
15489,oneclick,5,FALSE,FALSE
15597,old,2,FALSE,FALSE
15962,oneclick,0,FALSE,FALSE
15970,old,16,TRUE,FALSE
16096,old,0,FALSE,FALSE
16145,old,7,FALSE,FALSE
16180,oneclick,5,FALSE,FALSE
16224,old,0,FALSE,FALSE
16454,old,11,FALSE,FALSE
16504,old,0,FALSE,FALSE
16506,oneclick,4,TRUE,FALSE
16638,old,51,TRUE,FALSE
16696,old,5,FALSE,FALSE
17085,old,33,FALSE,FALSE
17167,oneclick,21,FALSE,FALSE
17270,oneclick,49,TRUE,FALSE
17422,old,2,FALSE,FALSE
17461,oneclick,1,FALSE,FALSE
17477,oneclick,46,TRUE,TRUE
17506,old,127,TRUE,TRUE
17554,oneclick,1,FALSE,FALSE
17814,oneclick,14,FALSE,FALSE
17903,old,17,FALSE,FALSE
17947,oneclick,104,TRUE,TRUE
17995,oneclick,6,FALSE,FALSE
18013,old,21,TRUE,FALSE
18213,old,36,TRUE,FALSE
18235,oneclick,8,FALSE,FALSE
18374,old,53,TRUE,FALSE
18731,oneclick,1,FALSE,FALSE
18756,oneclick,38,TRUE,TRUE
18778,oneclick,13,FALSE,FALSE
18827,oneclick,20,TRUE,FALSE
18849,old,74,TRUE,TRUE
18993,old,25,TRUE,FALSE
19077,oneclick,11,FALSE,FALSE
19091,old,1,FALSE,FALSE
19474,old,2,FALSE,FALSE
19490,oneclick,72,TRUE,FALSE
19529,old,22,FALSE,FALSE
19537,old,2,FALSE,FALSE
19593,old,18,FALSE,FALSE
19673,old,4,FALSE,FALSE
19721,old,18,FALSE,FALSE
19728,old,79,TRUE,TRUE
19746,oneclick,65,FALSE,TRUE
19896,old,13,TRUE,FALSE
19993,oneclick,5,TRUE,FALSE
20005,oneclick,4,FALSE,FALSE
20052,oneclick,8,FALSE,FALSE
20136,oneclick,0,FALSE,FALSE
20358,old,19,FALSE,TRUE
20365,old,6,FALSE,FALSE
20465,oneclick,108,TRUE,FALSE
20489,old,2,FALSE,FALSE
20587,old,26,FALSE,FALSE
20591,old,2,TRUE,FALSE
20721,old,99,FALSE,TRUE
20763,oneclick,10,FALSE,FALSE
20790,old,5,TRUE,FALSE
20832,oneclick,13,TRUE,FALSE
20940,old,1,FALSE,FALSE
21072,old,16,FALSE,FALSE
21130,old,1,FALSE,FALSE
21137,old,91,TRUE,FALSE
21228,old,149,TRUE,TRUE
21408,oneclick,20,TRUE,FALSE
21442,old,68,TRUE,FALSE
21755,old,12,FALSE,TRUE
22069,old,7,FALSE,FALSE
22082,old,3,FALSE,FALSE
22167,old,277,TRUE,TRUE
22299,old,493,TRUE,TRUE
22398,oneclick,4,FALSE,FALSE
22486,old,3,FALSE,FALSE
22676,old,8,FALSE,FALSE
22919,old,1,FALSE,FALSE
22935,oneclick,274,TRUE,TRUE
22972,oneclick,17,FALSE,FALSE
23023,old,32,FALSE,TRUE
23026,old,1,FALSE,FALSE
23084,old,85,TRUE,TRUE
23094,old,12,FALSE,FALSE
23126,old,1,FALSE,FALSE
23270,oneclick,8,FALSE,FALSE
23333,oneclick,9,FALSE,FALSE
23374,oneclick,8,TRUE,FALSE
23525,old,191,TRUE,TRUE
23702,old,115,TRUE,FALSE
23748,old,45,TRUE,FALSE
24036,old,15,FALSE,FALSE
24222,oneclick,134,TRUE,TRUE
24302,old,19,TRUE,FALSE
24328,oneclick,2,FALSE,FALSE
24382,oneclick,22,TRUE,FALSE
24397,oneclick,6,FALSE,FALSE
24981,old,18,FALSE,FALSE
25047,oneclick,0,FALSE,FALSE
25281,oneclick,0,FALSE,FALSE
25293,old,12,FALSE,FALSE
25332,oneclick,152,TRUE,TRUE
25466,old,2,FALSE,FALSE
25903,oneclick,8,TRUE,FALSE
25941,old,73,TRUE,FALSE
25958,oneclick,0,FALSE,FALSE
26083,oneclick,100,TRUE,TRUE
26243,old,250,TRUE,TRUE
26253,oneclick,10,FALSE,FALSE
26466,old,13,TRUE,FALSE
26502,oneclick,147,TRUE,TRUE
26586,oneclick,391,TRUE,FALSE
27135,oneclick,18,FALSE,FALSE
27163,old,23,FALSE,FALSE
27605,oneclick,19,TRUE,FALSE
27693,oneclick,4,FALSE,FALSE
27754,oneclick,14,FALSE,FALSE
27759,oneclick,61,TRUE,TRUE
27849,old,61,TRUE,FALSE
27851,old,75,TRUE,FALSE
27979,oneclick,75,FALSE,FALSE
28025,oneclick,57,TRUE,FALSE
28091,oneclick,35,TRUE,FALSE
28123,oneclick,9,FALSE,FALSE
28332,oneclick,13,FALSE,FALSE
28405,oneclick,1,FALSE,FALSE
28433,oneclick,20,FALSE,FALSE
28497,old,77,TRUE,TRUE
29185,old,3,FALSE,FALSE
29311,old,7,FALSE,FALSE
29317,old,6,FALSE,FALSE
29455,oneclick,51,TRUE,TRUE
29522,old,197,FALSE,TRUE
29658,oneclick,2,FALSE,FALSE
29677,old,22,FALSE,FALSE
29753,old,69,TRUE,FALSE
29861,old,4,FALSE,FALSE
29999,oneclick,260,TRUE,TRUE
30039,old,20,FALSE,FALSE
30059,oneclick,4,FALSE,FALSE
30274,oneclick,7,TRUE,FALSE
30277,oneclick,0,FALSE,FALSE
30343,oneclick,8,TRUE,TRUE
30348,oneclick,48,TRUE,TRUE
30594,old,15,TRUE,FALSE
30631,oneclick,61,FALSE,TRUE
30868,oneclick,1,FALSE,FALSE
30928,oneclick,12,TRUE,FALSE
31073,oneclick,270,TRUE,TRUE
31151,oneclick,59,FALSE,FALSE
31200,oneclick,141,TRUE,FALSE
31214,oneclick,53,FALSE,TRUE
31222,old,20,FALSE,FALSE
31638,old,16,FALSE,FALSE
31691,oneclick,0,FALSE,FALSE
31812,oneclick,37,TRUE,FALSE
31903,oneclick,467,TRUE,TRUE
32292,old,25,FALSE,FALSE
32403,old,2,TRUE,FALSE
32569,old,4,FALSE,FALSE
32595,old,11,TRUE,FALSE
32642,oneclick,40,FALSE,FALSE
32730,oneclick,9,FALSE,FALSE
32942,old,11,TRUE,TRUE
33097,oneclick,12,FALSE,FALSE
33126,oneclick,6,FALSE,FALSE
33189,old,9,TRUE,FALSE
33274,old,4,FALSE,FALSE
33316,old,18,TRUE,FALSE
33445,oneclick,77,FALSE,TRUE
33489,oneclick,4,FALSE,FALSE
33639,old,45,TRUE,FALSE
33703,old,43,TRUE,FALSE
33794,oneclick,3,FALSE,FALSE
33954,old,30,TRUE,FALSE
33967,oneclick,33,TRUE,TRUE
34016,old,47,TRUE,FALSE
34022,old,72,FALSE,TRUE
34027,old,16,FALSE,FALSE
34076,old,2,FALSE,FALSE
34447,old,93,TRUE,TRUE
34469,oneclick,222,TRUE,TRUE
34597,old,334,TRUE,TRUE
34647,old,8,FALSE,FALSE
34706,oneclick,29,TRUE,FALSE
34842,old,27,TRUE,FALSE
34859,oneclick,16,FALSE,FALSE
34906,oneclick,10,TRUE,FALSE
34942,old,8,FALSE,FALSE
35027,old,58,TRUE,FALSE
35056,oneclick,84,TRUE,FALSE
35156,oneclick,1,FALSE,FALSE
35458,old,56,FALSE,FALSE
35460,oneclick,43,TRUE,FALSE
35730,oneclick,50,TRUE,FALSE
35837,oneclick,23,TRUE,FALSE
35886,oneclick,5,FALSE,FALSE
35922,oneclick,21,TRUE,FALSE
36003,oneclick,48,TRUE,FALSE
36047,old,85,TRUE,TRUE
36077,oneclick,13,TRUE,FALSE
36279,oneclick,41,TRUE,FALSE
36280,oneclick,5,FALSE,FALSE
36298,old,1,FALSE,FALSE
36356,oneclick,303,TRUE,TRUE
36513,old,18,TRUE,FALSE
36560,old,48,TRUE,FALSE
36622,oneclick,4,TRUE,FALSE
36664,old,51,FALSE,TRUE
36673,oneclick,5,FALSE,FALSE
36761,old,134,TRUE,TRUE
36887,old,11,TRUE,FALSE
36921,oneclick,3,FALSE,FALSE
36997,old,9,TRUE,FALSE
37155,old,3,FALSE,FALSE
37303,oneclick,177,TRUE,TRUE
37366,old,11,TRUE,FALSE
37461,old,20,FALSE,TRUE
37740,oneclick,39,TRUE,TRUE
37823,oneclick,12,TRUE,FALSE
37872,oneclick,12,TRUE,FALSE
37994,old,2,FALSE,FALSE
38151,oneclick,9,TRUE,FALSE
38232,oneclick,216,TRUE,TRUE
38249,old,30,TRUE,FALSE
38292,oneclick,9,FALSE,FALSE
39069,oneclick,227,FALSE,FALSE
39382,oneclick,0,FALSE,FALSE
39494,oneclick,87,TRUE,FALSE
39531,oneclick,71,TRUE,FALSE
39774,old,567,TRUE,TRUE
39902,old,13,TRUE,FALSE
39932,oneclick,55,TRUE,TRUE
39993,old,14,FALSE,FALSE
40233,old,78,TRUE,FALSE
40292,oneclick,1,FALSE,FALSE
40359,oneclick,3,FALSE,FALSE
40378,oneclick,552,TRUE,TRUE
40427,oneclick,96,TRUE,FALSE
40566,oneclick,2,FALSE,FALSE
40593,oneclick,12,TRUE,TRUE
40630,old,99,TRUE,FALSE
40653,oneclick,107,TRUE,FALSE
40687,oneclick,12,FALSE,FALSE
40749,old,2,FALSE,FALSE
40812,old,2,FALSE,FALSE
41112,oneclick,4,FALSE,FALSE
41192,oneclick,28,FALSE,FALSE
41378,old,9,FALSE,FALSE
41795,oneclick,136,TRUE,TRUE
41842,old,15,FALSE,FALSE
41934,old,8,FALSE,FALSE
41988,old,1,FALSE,FALSE
42077,oneclick,12,TRUE,FALSE
42316,oneclick,6,FALSE,FALSE
42407,oneclick,45,FALSE,TRUE
42457,oneclick,12,FALSE,FALSE
42688,old,13,FALSE,FALSE
42703,oneclick,9,TRUE,FALSE
42758,old,11,TRUE,FALSE
42994,old,113,TRUE,TRUE
43091,oneclick,6,TRUE,FALSE
43368,old,32,FALSE,FALSE
43644,oneclick,17,TRUE,FALSE
43744,oneclick,141,TRUE,FALSE
43757,oneclick,28,FALSE,FALSE
44400,old,95,TRUE,FALSE
44493,old,339,TRUE,TRUE
44498,oneclick,24,TRUE,FALSE
44591,oneclick,5,FALSE,FALSE
44670,oneclick,6,FALSE,FALSE
44751,oneclick,10,FALSE,FALSE
44780,oneclick,9,FALSE,FALSE
44910,old,6,FALSE,FALSE
45066,oneclick,85,TRUE,FALSE
45083,old,54,FALSE,FALSE
45167,oneclick,19,FALSE,FALSE
45694,old,6,TRUE,FALSE
45698,oneclick,452,TRUE,TRUE
45753,oneclick,26,TRUE,FALSE
45813,old,12,TRUE,FALSE
45895,old,2,TRUE,FALSE
45896,old,11,TRUE,FALSE
45952,old,3,FALSE,FALSE
46007,oneclick,6,FALSE,FALSE
46022,old,7,FALSE,FALSE
46347,oneclick,57,FALSE,FALSE
46472,old,16,FALSE,FALSE
46576,oneclick,15,FALSE,FALSE
46624,old,148,TRUE,TRUE
46629,old,57,TRUE,FALSE
46746,old,3,TRUE,FALSE
46806,oneclick,163,TRUE,TRUE
46919,old,47,TRUE,FALSE
46938,oneclick,54,FALSE,FALSE
47377,old,2,FALSE,FALSE
47816,oneclick,220,TRUE,TRUE
47822,old,63,TRUE,TRUE
47990,old,25,TRUE,FALSE
48016,oneclick,0,FALSE,FALSE
48116,oneclick,1,FALSE,FALSE
48130,oneclick,2,FALSE,FALSE
48201,old,84,TRUE,TRUE
48631,old,60,FALSE,FALSE
48658,oneclick,216,TRUE,TRUE
48677,old,17,TRUE,FALSE
48942,oneclick,290,TRUE,TRUE
48990,old,3,FALSE,FALSE
49147,old,24,TRUE,FALSE
49311,old,5,FALSE,FALSE
49330,oneclick,18,FALSE,FALSE
49373,oneclick,5,FALSE,FALSE
49600,oneclick,20,FALSE,FALSE
49811,old,9,TRUE,FALSE
49995,old,15,TRUE,FALSE
50011,old,4,FALSE,FALSE
50158,old,87,TRUE,TRUE
50237,old,86,TRUE,FALSE
50339,old,0,FALSE,FALSE
50386,old,4,FALSE,FALSE
50547,oneclick,356,FALSE,FALSE
50665,oneclick,10,TRUE,FALSE
50686,old,3,FALSE,TRUE
50688,oneclick,0,FALSE,FALSE
50794,old,0,FALSE,FALSE
50811,oneclick,3,FALSE,FALSE
50850,oneclick,34,TRUE,TRUE
51155,oneclick,34,FALSE,FALSE
51267,oneclick,0,FALSE,FALSE
51295,oneclick,117,TRUE,TRUE
51310,oneclick,23,FALSE,TRUE
51430,oneclick,34,TRUE,FALSE
51636,old,8,FALSE,FALSE
51641,old,20,TRUE,FALSE
51823,old,54,TRUE,TRUE
51894,oneclick,4,FALSE,FALSE
51970,old,76,FALSE,TRUE
52100,old,55,TRUE,FALSE
52177,old,3,FALSE,FALSE
52271,old,2,FALSE,FALSE
52357,oneclick,22,TRUE,FALSE
52420,oneclick,15,TRUE,TRUE
52636,old,3,FALSE,FALSE
53149,old,4,FALSE,FALSE
53373,old,298,TRUE,TRUE
53393,oneclick,338,TRUE,TRUE
53450,old,1,FALSE,FALSE
53464,old,12,FALSE,FALSE
53470,old,7,FALSE,FALSE
53597,old,5,FALSE,FALSE
53638,oneclick,16,FALSE,FALSE
53763,oneclick,9,TRUE,FALSE
53935,old,4,FALSE,FALSE
53996,old,115,TRUE,TRUE
54069,oneclick,170,TRUE,TRUE
54162,oneclick,174,TRUE,TRUE
54178,oneclick,21,FALSE,FALSE
54244,old,4,FALSE,FALSE
54256,old,6,FALSE,FALSE
54403,oneclick,6,FALSE,FALSE
54580,oneclick,22,FALSE,FALSE
54617,old,12,FALSE,FALSE
54680,old,2,FALSE,FALSE
54681,old,2,FALSE,FALSE
54754,oneclick,70,TRUE,FALSE
54776,oneclick,0,FALSE,FALSE
54975,oneclick,3,FALSE,FALSE
55139,oneclick,25,FALSE,FALSE
55213,old,141,TRUE,TRUE
55250,old,47,TRUE,TRUE
55480,oneclick,1,FALSE,FALSE
55621,oneclick,32,FALSE,FALSE
56116,old,3,FALSE,FALSE
56237,old,10,FALSE,FALSE
56269,oneclick,2,FALSE,FALSE
56294,old,2,TRUE,FALSE
56446,oneclick,15,FALSE,FALSE
56496,old,543,TRUE,TRUE
56522,oneclick,10,FALSE,FALSE
56587,old,54,TRUE,FALSE
56815,oneclick,202,TRUE,TRUE
56895,old,2,FALSE,FALSE
56997,old,41,FALSE,FALSE
57149,oneclick,15,FALSE,FALSE
57321,oneclick,54,FALSE,FALSE
57334,old,5,TRUE,FALSE
57339,old,22,TRUE,FALSE
57369,old,399,TRUE,TRUE
57401,oneclick,13,TRUE,FALSE
57429,old,29,TRUE,FALSE
57516,oneclick,38,TRUE,TRUE
57833,old,0,FALSE,FALSE
58180,old,19,TRUE,FALSE
58189,oneclick,23,FALSE,FALSE
58289,oneclick,237,TRUE,TRUE
58394,old,25,TRUE,FALSE
58592,old,85,TRUE,FALSE
58700,oneclick,0,FALSE,FALSE
58768,oneclick,11,FALSE,FALSE
58813,old,1,FALSE,FALSE
59164,oneclick,7,TRUE,FALSE
59395,oneclick,33,TRUE,TRUE
59531,oneclick,18,FALSE,FALSE
60035,old,14,FALSE,FALSE
60103,old,18,FALSE,FALSE
60160,old,11,TRUE,FALSE
60410,old,26,TRUE,FALSE
60424,oneclick,6,FALSE,FALSE
60619,old,65,TRUE,FALSE
60929,old,16,TRUE,FALSE
60956,old,17,FALSE,FALSE
60984,oneclick,139,FALSE,TRUE
61104,oneclick,0,FALSE,FALSE
61245,oneclick,24,TRUE,FALSE
61462,oneclick,23,FALSE,FALSE
61563,oneclick,7,FALSE,FALSE
61595,old,29,FALSE,FALSE
61609,oneclick,4,FALSE,FALSE
61651,oneclick,3,FALSE,FALSE
61952,oneclick,19,FALSE,FALSE
61979,oneclick,2,FALSE,FALSE
62084,oneclick,12,FALSE,FALSE
62145,old,1,FALSE,FALSE
62206,oneclick,0,FALSE,FALSE
62434,oneclick,6,FALSE,FALSE
62437,old,5,FALSE,FALSE
62566,old,67,TRUE,FALSE
62700,old,36,TRUE,TRUE
62704,old,2,FALSE,FALSE
62879,oneclick,1,FALSE,FALSE
63001,old,33,TRUE,FALSE
63335,oneclick,9,TRUE,FALSE
63370,oneclick,179,TRUE,TRUE
63473,oneclick,1,FALSE,FALSE
63478,oneclick,202,TRUE,TRUE
63480,oneclick,9,TRUE,FALSE
63555,old,43,FALSE,FALSE
63617,oneclick,902,TRUE,TRUE
63766,oneclick,6,FALSE,FALSE
63786,old,22,FALSE,FALSE
63832,oneclick,1,FALSE,FALSE
63889,oneclick,9,TRUE,TRUE
63962,oneclick,4,TRUE,FALSE
64052,oneclick,1,FALSE,FALSE
64224,old,15,FALSE,TRUE
64235,oneclick,1,FALSE,FALSE
64309,old,125,TRUE,FALSE
64643,old,24,FALSE,FALSE
64646,old,1,FALSE,TRUE
64792,oneclick,269,TRUE,FALSE
64849,old,31,TRUE,FALSE
64930,oneclick,510,TRUE,FALSE
64944,old,62,FALSE,FALSE
65032,old,5,FALSE,FALSE
65452,oneclick,16,FALSE,FALSE
65482,old,10,FALSE,FALSE
65511,oneclick,4,FALSE,FALSE
66120,old,28,FALSE,FALSE
66509,oneclick,46,TRUE,FALSE
66677,old,1,FALSE,FALSE
66713,old,4,FALSE,FALSE
66947,old,13,TRUE,FALSE
67078,oneclick,9,FALSE,FALSE
67122,oneclick,18,FALSE,FALSE
67190,old,15,FALSE,FALSE
67193,old,1,FALSE,FALSE
67234,oneclick,3,FALSE,FALSE
67387,oneclick,12,FALSE,FALSE
67654,old,8,FALSE,FALSE
67829,old,0,FALSE,FALSE
67910,old,18,TRUE,FALSE
67950,oneclick,7,FALSE,FALSE
68020,old,52,FALSE,TRUE
68112,oneclick,0,FALSE,FALSE
68151,old,136,TRUE,FALSE
68386,oneclick,5,FALSE,FALSE
68394,old,474,TRUE,TRUE
68406,old,5,FALSE,FALSE
68485,oneclick,26,TRUE,FALSE
68698,old,83,TRUE,FALSE
68856,oneclick,1,FALSE,FALSE
68887,old,1,FALSE,FALSE
68915,old,121,FALSE,FALSE
68965,old,105,TRUE,TRUE
69027,old,2,FALSE,FALSE
69050,oneclick,20,TRUE,FALSE
69392,oneclick,46,FALSE,FALSE
69488,oneclick,5,FALSE,FALSE
69649,old,80,TRUE,TRUE
69870,old,210,TRUE,TRUE
69917,old,16,TRUE,FALSE
69927,oneclick,1906,TRUE,TRUE
69998,oneclick,16,FALSE,FALSE
70074,oneclick,0,FALSE,FALSE
70127,oneclick,1,FALSE,FALSE
70175,old,35,TRUE,TRUE
70294,old,199,TRUE,FALSE
70522,old,6,FALSE,FALSE
70570,oneclick,5,FALSE,FALSE
70899,old,3,FALSE,FALSE
71062,oneclick,25,TRUE,FALSE
71119,oneclick,118,TRUE,TRUE
71161,old,68,TRUE,FALSE
71165,old,105,TRUE,FALSE
71205,oneclick,5,FALSE,FALSE
71235,oneclick,38,TRUE,FALSE
71326,old,8,FALSE,FALSE
71489,oneclick,7,FALSE,FALSE
71635,oneclick,4,FALSE,FALSE
71698,oneclick,6,FALSE,FALSE
71777,old,12,FALSE,FALSE
72085,old,103,TRUE,FALSE
72164,oneclick,259,TRUE,TRUE
72353,old,5,FALSE,FALSE
72419,old,12,TRUE,FALSE
72470,old,6,TRUE,FALSE
72555,oneclick,298,TRUE,TRUE
72614,old,3,FALSE,FALSE
72661,old,1,FALSE,FALSE
72752,old,15,FALSE,FALSE
72813,oneclick,6,TRUE,FALSE
72872,oneclick,10,FALSE,FALSE
72918,old,13,FALSE,FALSE
72977,old,12,TRUE,FALSE
73378,old,34,TRUE,FALSE
73412,oneclick,3,FALSE,FALSE
73868,old,2,FALSE,FALSE
74231,oneclick,7,FALSE,FALSE
74276,oneclick,24,TRUE,TRUE
74369,old,7,FALSE,FALSE
74377,oneclick,53,TRUE,FALSE
74422,old,38,FALSE,TRUE
74568,oneclick,11,TRUE,FALSE
75029,old,98,TRUE,FALSE
75734,old,4,FALSE,FALSE
76062,oneclick,5,FALSE,FALSE
76089,old,3,FALSE,FALSE
76133,oneclick,50,FALSE,FALSE
76549,oneclick,149,FALSE,TRUE
76573,oneclick,20,TRUE,FALSE
76598,oneclick,1,FALSE,FALSE
76662,old,30,TRUE,FALSE
76767,old,4,FALSE,FALSE
76784,old,53,TRUE,FALSE
76895,old,5,FALSE,FALSE
76917,oneclick,113,TRUE,FALSE
76934,old,2,FALSE,FALSE
77151,old,2,FALSE,FALSE
77172,oneclick,0,FALSE,FALSE
77195,old,25,TRUE,FALSE
77468,oneclick,12,FALSE,FALSE
77495,old,59,FALSE,FALSE
77644,oneclick,15,FALSE,FALSE
77731,oneclick,106,TRUE,TRUE
77812,old,2,FALSE,FALSE
77821,old,7,FALSE,FALSE
77837,old,6,FALSE,FALSE
77850,oneclick,59,TRUE,FALSE
78089,oneclick,47,FALSE,FALSE
78142,old,1,FALSE,FALSE
78183,oneclick,34,TRUE,FALSE
78237,oneclick,4,FALSE,FALSE
78312,oneclick,12,FALSE,FALSE
78409,oneclick,15,TRUE,FALSE
78563,old,32,FALSE,FALSE
78846,oneclick,0,FALSE,FALSE
78900,oneclick,2,FALSE,FALSE
79646,old,34,TRUE,FALSE
79890,oneclick,11,FALSE,FALSE
79929,old,16,FALSE,FALSE
80215,old,2,FALSE,FALSE
80282,oneclick,128,TRUE,TRUE
80485,old,9,FALSE,FALSE
80496,old,0,FALSE,FALSE
80526,oneclick,34,FALSE,TRUE
80582,old,7,FALSE,FALSE
80618,old,7,FALSE,FALSE
80634,old,215,TRUE,TRUE
80746,oneclick,1,FALSE,FALSE
80754,old,0,FALSE,FALSE
80860,old,231,TRUE,FALSE
80884,oneclick,5,FALSE,FALSE
80900,old,16,FALSE,FALSE
81447,oneclick,34,FALSE,FALSE
81480,old,2,FALSE,FALSE
81524,oneclick,34,TRUE,FALSE
81532,oneclick,2,FALSE,FALSE
81668,old,12,FALSE,FALSE
81959,old,6,FALSE,FALSE
82064,oneclick,41,TRUE,FALSE
